TimeStep,EX_C1_j1,ref_EX_C1_j1,EY_C1_j1,ref_EY_C1_j1,EY_C1_j2,ref_EY_C1_j2,EZ_C1_j1,ref_EZ_C1_j1,EZ_C1_j2,ref_EZ_C1_j2
0,14.0,14.0,0.21484790742397308,0.22439061835482257,0.0,0.0,0.7567570209503174,0.8149609277988195,0.0,0.0
1,14.013337135314941,14.01305625938726,0.21416983008384705,0.22248173580430944,0.0,0.0,0.7604660987854004,0.8117067848318076,0.0,0.0
2,14.01786994934082,14.017474856320884,0.21228031814098358,0.21980565697271276,0.0,0.0,0.7592620849609375,0.8054905846956477,0.0,0.0
3,14.039881706237793,14.039384898652312,0.21340668201446533,0.2202506411840537,0.0,0.0,0.7597538232803345,0.8122292482163254,0.0,0.0
4,14.057866096496582,14.057296562409453,0.21333996951580048,0.21940746633360236,0.0,0.0,0.7639384269714355,0.81279913566649,0.0,0.0
5,14.08627986907959,14.08575218267218,0.21384409070014954,0.22055151171453613,0.7915315628051758,0.792142081452073,2.817255973815918,0.8243304589238308,1.5759172439575195,1.5911315790642064
6,14.103076934814453,14.102220426354249,0.0,0.0,0.7943274974822998,0.7936055832700036,0.0,0.0,1.5773323774337769,1.5926896063626625
7,14.118846893310547,14.117954983676155,0.0,0.0,0.8001519441604614,0.798984592181515,0.0,0.0,1.5811079740524292,1.5939393498025667
8,14.12102222442627,14.120295858536567,0.0,0.0,0.7902838587760925,0.789587353593804,0.0,0.0,1.5828187465667725,1.586011369770398
9,14.133399963378906,14.132724270435364,0.0,0.0,0.7899643778800964,0.7896365299513116,0.0,0.0,1.5845297574996948,1.582318233792538
10,14.168130874633789,14.167453684134292,0.0,0.0,0.801363468170166,0.8011627635947526,0.0,0.0,1.5922878980636597,1.581512576285324
