TimeStep,MSE_X_j1,MSE_Y_j1,MSE_Y_j2,MSE_Z_j1,MSE_Z_j2
0,0.0,9.106361630492557e-05,0.0,0.00338769477242912,0.0
1,0.0002328160588540662,0.004016129406416718,0.0,0.004920610219512834,0.0
2,0.00046646564808405647,0.00821045999691662,0.0,0.0070467732435839335,0.0
3,0.000716492768299401,0.01340141580612039,0.0,0.010534730499919806,0.0
4,0.0009977420149835535,0.019898864103075776,0.0,0.016518577489190417,0.0
5,0.00126665433835826,0.030601310584586382,0.0031793750305318417,5.133533505587388,0.001037499414908317
6,0.0014830553498803283,0.0,0.006849638748408167,0.0,0.0011395844105019258
7,0.001747350164391094,0.0,0.010882247772669856,0.0,0.001199499135590612
8,0.0020049832842925623,0.0,0.015820156568066453,0.0,0.0014977840422766527
9,0.00229619180917582,0.0,0.021728284106016467,0.0,0.002198353445233441
10,0.0025506787462640785,0.0,0.030459495607012423,0.0,0.07091512145849413
