TimeStep,reMSE_X_j1,reMSE_Y_j1,reMSE_Y_j2,reMSE_Z_j1,reMSE_Z_j2
0,0.0,0.001808570747999161,0.0,0.005100710778905437,0.0
1,1.1837781256339918e-06,0.05095462510131601,0.0,0.005708403712123587,0.0
2,2.3664449069635893e-06,0.0720249211300036,0.0,0.006524497156905476,0.0
3,3.6178140613314334e-06,0.08420962351823195,0.0,0.00782874075957062,0.0
4,5.017133725262711e-06,0.09063151749763573,0.0,0.009958657812114472,0.0
5,6.333785613206464e-06,0.10325170787264014,0.0026501149596646744,2.242571703852961,0.00030424321882738703
6,7.386865786973197e-06,0.0,0.005121466462942144,0.0,0.00031483323261859695
7,8.668436094268499e-06,0.0,0.007243344305103619,0.0,0.00031134214710434345
8,9.927737084005959e-06,0.0,0.009682802376613881,0.0,0.000369763687090378
9,1.1331051811714797e-05,0.0,0.012051408600130242,0.0,0.0005069338976952827
10,1.2503854150919443e-05,0.0,0.014906501750665446,0.0,0.014301378970793496
