TimeStep,EX_C1_j1,ref_EX_C1_j1,EY_C1_j1,ref_EY_C1_j1,EY_C1_j2,ref_EY_C1_j2,EY_C1_j3,ref_EY_C1_j3,EZ_C1_j1,ref_EZ_C1_j1,EZ_C1_j2,ref_EZ_C1_j2,EZ_C1_j3,ref_EZ_C1_j3
0,5.0,5.0,2.1738831996917725,2.174372937156066,0.0,0.0,0.0,0.0,0.9937023520469666,0.9983719576242811,0.0,0.0,0.0,0.0
1,5.023967742919922,5.023889624316645,2.1809325218200684,0.0,0.0,0.0,0.0,0.0,1.0001113414764404,0.0,0.0,0.0,0.0,0.0
2,5.05324125289917,5.053253362401036,2.1931679248809814,0.0,0.0,0.0,0.0,0.0,1.0061194896697998,0.0,0.0,0.0,0.0,0.0
3,5.083176136016846,5.082672343055889,2.205909252166748,0.0,0.0,0.0,0.0,0.0,1.0124703645706177,0.0,0.0,0.0,0.0,0.0
4,5.11845064163208,5.118376285032133,2.2238054275512695,0.0,0.0,0.0,0.0,0.0,1.0187089443206787,0.0,0.0,0.0,0.0,0.0
5,5.137106418609619,5.136880219452597,2.225015640258789,0.0,3.23986554145813,0.0,0.0,0.0,1.027421236038208,0.0,1.026275634765625,0.0,0.0,0.0
6,5.154052257537842,5.153526201665631,0.0,0.0,3.2453792095184326,0.0,0.0,0.0,0.0,0.0,1.0328418016433716,0.0,0.0,0.0
7,5.178724765777588,5.177679272819428,0.0,0.0,3.258575677871704,0.0,0.0,0.0,0.0,0.0,1.0388295650482178,0.0,0.0,0.0
8,5.209269046783447,5.208153770037925,0.0,0.0,3.2775940895080566,0.0,0.0,0.0,0.0,0.0,1.044686198234558,0.0,0.0,0.0
9,5.23963737487793,5.238910671886794,0.0,0.0,3.2963688373565674,0.0,0.0,0.0,0.0,0.0,1.050091028213501,0.0,0.0,0.0
10,5.262833595275879,5.2616937605648575,0.0,0.0,3.307810068130493,0.0,4.337562561035156,0.0,0.0,0.0,1.052566647529602,0.0,1.0618269443511963,0.0
11,5.292757034301758,5.291476487805926,0.0,0.0,0.0,0.0,4.361940860748291,0.0,0.0,0.0,0.0,0.0,1.0686157941818237,0.0
12,5.318435192108154,5.31714136114586,0.0,0.0,0.0,0.0,4.3819684982299805,0.0,0.0,0.0,0.0,0.0,1.0742409229278564,0.0
13,5.355452537536621,5.354305523033745,0.0,0.0,0.0,0.0,4.413413047790527,0.0,0.0,0.0,0.0,0.0,1.0807758569717407,0.0
14,5.390546798706055,5.389974222987758,0.0,0.0,0.0,0.0,4.442767143249512,0.0,0.0,0.0,0.0,0.0,1.0871903896331787,0.0
15,5.421148777008057,5.420529101449908,0.0,0.0,0.0,0.0,4.467696666717529,0.0,0.0,0.0,0.0,0.0,1.084229826927185,0.0
