TimeStep,MSE_X_j1,MSE_Y_j1,MSE_Y_j2,MSE_Y_j3,MSE_Z_j1,MSE_Z_j2,MSE_Z_j3
0,0.0,2.403344955100969e-07,0.0,0.0,2.1804678183506142e-05,0.0,0.0
1,0.0007752953672310543,4.95254692875879,0.0,0.0,1.008534753944087,0.0,0.0
2,0.0016057585716964219,5.206221920318725,0.0,0.0,1.0292781251681593,0.0,0.0
3,0.00238204580185286,5.470548029881739,0.0,0.0,1.0511216334062423,0.0,0.0
4,0.003505508062052924,5.756688443745636,0.0,0.0,1.0730892686507283,0.0,0.0
5,0.004414771903785163,5.97084081658239,11.556360289201034,0.0,1.0966829409183851,1.0943984489590053,0.0
6,0.005402578041991584,0.0,11.811356110516364,0.0,0.0,1.1163476642285988,0.0
7,0.006373588553994404,0.0,12.111686951774848,0.0,0.0,1.1383203640724973,0.0
8,0.007389969479315508,0.0,12.509187250108114,0.0,0.0,1.1601079910864613,0.0
9,0.008448448668479856,0.0,12.887697282201396,0.0,0.0,1.1814798602671432,0.0
10,0.009481006680450078,0.0,13.186536559890964,21.145284057966492,0.0,1.1962031684352485,1.2211106330822874
11,0.010546615286739454,0.0,0.0,21.630015865245824,0.0,0.0,1.2473286808045385
12,0.011679750058150078,0.0,0.0,22.077461135760228,0.0,0.0,1.2711098341017546
13,0.01277993893421,0.0,0.0,22.677134150737846,0.0,0.0,1.2960474966520041
14,0.014157693392268038,0.0,0.0,23.243875259946595,0.0,0.0,1.3199982913376487
15,0.01545267243569507,0.0,0.0,23.755071465172428,0.0,0.0,1.321086329689428
