TimeStep,reMSE_X_j1,reMSE_Y_j1,reMSE_Y_j2,reMSE_Y_j3,reMSE_Z_j1,reMSE_Z_j2,reMSE_Z_j3
0,0.0,5.0833269302421843e-08,0.0,0.0,2.1875849821707898e-05,0.0,0.0
1,3.0474331035445038e-05,inf,0.0,0.0,inf,0.0,0.0
2,6.1901927226091e-05,inf,0.0,0.0,inf,0.0,0.0
3,9.005351994893841e-05,inf,0.0,0.0,inf,0.0,0.0
4,0.00012969678146307193,inf,0.0,0.0,inf,0.0,0.0
5,0.0001609579515809648,inf,inf,0.0,inf,inf,0.0
6,0.00019418741004459806,0.0,inf,0.0,0.0,inf,0.0
7,0.0002252933133912644,0.0,inf,0.0,0.0,inf,0.0
8,0.0002558496229816007,0.0,inf,0.0,0.0,inf,0.0
9,0.0002867298010657236,0.0,inf,0.0,0.0,inf,0.0
10,0.0003167588553904781,0.0,inf,inf,0.0,inf,inf
11,0.00034560813910357156,0.0,0.0,inf,0.0,0.0,inf
12,0.0003760072446253313,0.0,0.0,inf,0.0,0.0,inf
13,0.00040210832266723693,0.0,0.0,inf,0.0,0.0,inf
14,0.00043601483773173986,0.0,0.0,inf,0.0,0.0,inf
15,0.0004670711039714545,0.0,0.0,inf,0.0,0.0,inf
